[2025-10-15 20:05:28,570][__main__][INFO] - Training for 50000 timesteps with NormalQNetwork and 100StepReplayBuffer
[2025-10-15 20:05:33,605][core][INFO] - Step: 2000, Eval mean: 152.6, Eval std: 65.4678547074822
[2025-10-15 20:05:40,172][core][INFO] - Step: 4000, Eval mean: 173.5, Eval std: 49.10651687912715
[2025-10-15 20:05:47,604][core][INFO] - Step: 6000, Eval mean: 454.8, Eval std: 103.78516271606458
[2025-10-15 20:05:55,999][core][INFO] - Step: 8000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:06:03,933][core][INFO] - Step: 10000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:06:11,487][core][INFO] - Step: 12000, Eval mean: 447.8, Eval std: 40.32815393741697
[2025-10-15 20:06:19,885][core][INFO] - Step: 14000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:06:28,851][core][INFO] - Step: 16000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:06:37,873][core][INFO] - Step: 18000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:06:46,565][core][INFO] - Step: 20000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:06:54,879][core][INFO] - Step: 22000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:07:04,166][core][INFO] - Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:07:13,123][core][INFO] - Step: 26000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:07:22,438][core][INFO] - Step: 28000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:07:32,178][core][INFO] - Step: 30000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:07:41,580][core][INFO] - Step: 32000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:07:50,995][core][INFO] - Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:08:00,721][core][INFO] - Step: 36000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:08:10,109][core][INFO] - Step: 38000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:08:19,697][core][INFO] - Step: 40000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:08:29,840][core][INFO] - Step: 42000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:08:39,170][core][INFO] - Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:08:49,563][core][INFO] - Step: 46000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:09:00,338][core][INFO] - Step: 48000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:09:11,036][core][INFO] - Step: 50000, Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:09:28,092][core][INFO] - Final Eval mean: 500.0, Eval std: 0.0
[2025-10-15 20:09:32,910][__main__][INFO] - Finish training with eval mean: 500.0
